src_label,tgt_label,num,val_prob
WWW,P2P,44,0.7933807969093323
INTERACTIVE,WWW,73,0.9866952896118164
MULTIMEDIA,P2P,7,0.677096962928772
WWW,FTP-PASV,176,0.845867395401001
MAIL,WWW,65,0.8284971117973328
P2P,WWW,98,0.8684549331665039
WWW,MAIL,114,0.8140779733657837
FTP-DATA,MAIL,3,0.80109041929245
FTP-PASV,P2P,2,0.5141057968139648
MAIL,P2P,2,0.9829016923904419
FTP-DATA,FTP-PASV,2,0.6684243679046631
MAIL,FTP-DATA,6,0.9061439633369446
WWW,SERVICES,6,0.7712786197662354
MULTIMEDIA,MAIL,1,0.44312697649002075
FTP-PASV,WWW,19,0.6630667448043823
SERVICES,WWW,6,0.79814213514328
SERVICES,P2P,3,0.8418634533882141
MULTIMEDIA,FTP-PASV,2,0.9464627504348755
MAIL,SERVICES,3,0.6178319454193115
P2P,FTP-DATA,4,0.7863377332687378
INTERACTIVE,FTP-DATA,1,0.8447012305259705
FTP-PASV,FTP-DATA,2,0.9946365356445312
MAIL,FTP-PASV,1,0.8021429181098938
FTP-DATA,MULTIMEDIA,2,0.46915602684020996
SERVICES,MAIL,11,0.9553734064102173
WWW,FTP-DATA,2,0.9723517894744873
P2P,MAIL,1,0.9947682619094849
P2P,FTP-PASV,6,0.6915123462677002
INTERACTIVE,MAIL,6,0.8900025486946106
FTP-PASV,MULTIMEDIA,1,0.4750271439552307
P2P,MULTIMEDIA,1,0.6948336362838745
MULTIMEDIA,WWW,1,0.9925073981285095
FTP-DATA,WWW,1,0.9285938143730164
